Fecha,Temperatura (K),Humedad (%),Presion (Pa),MAC Address,Alias
2025-12-03 16:37:06,295.54,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:06,295.54,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:07,295.53,57.99,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:08,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:08,295.53,57.99,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:09,295.54,57.98,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:09,295.53,57.98,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:10,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:10,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:11,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:11,295.53,58.0,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:12,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:12,295.54,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:13,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:13,295.54,57.99,81548,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:14,295.53,57.98,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:14,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:15,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:16,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:16,295.53,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:17,295.53,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:17,295.53,57.99,81548,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:18,295.54,57.99,81556,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:18,295.54,57.99,81550,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:19,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:19,295.55,57.99,81552,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:20,295.53,57.99,81549,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:20,295.53,57.99,81551,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:21,295.54,57.99,81554,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:21,295.53,57.99,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:22,295.55,58.0,81553,24:D7:EB:59:2E:30,NuevoAlias
2025-12-03 16:37:22,295.53,57.98,81552,24:D7:EB:59:2E:30,NuevoAlias
